epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3559.92,1.25149,0.80874,0.02027,0.92589,0.91458,0.95967,0.63679,1.23238,0.50051,0.02482,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3671.07,1.24537,0.8008,0.02007,0.92111,0.92002,0.96211,0.641,1.22687,0.49418,0.02479,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3782.36,1.24245,0.80306,0.01975,0.93243,0.91902,0.96116,0.64547,1.20937,0.48396,0.02425,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3893.34,1.22809,0.7883,0.01978,0.92364,0.92171,0.96555,0.6442,1.20108,0.48712,0.02427,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4002.86,1.22443,0.77951,0.0197,0.93301,0.91338,0.96182,0.64882,1.19605,0.47739,0.02399,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4114.87,1.22523,0.77276,0.01966,0.92994,0.91561,0.96035,0.64721,1.19308,0.48354,0.02392,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4226.21,1.21095,0.77117,0.0194,0.92728,0.92933,0.96457,0.65367,1.1837,0.46802,0.02358,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4338.09,1.22102,0.76657,0.01966,0.93463,0.92309,0.96614,0.65343,1.19462,0.45542,0.02397,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4449.64,1.205,0.75296,0.01937,0.93047,0.93212,0.96979,0.65605,1.1842,0.46261,0.02369,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4561.09,1.19398,0.75316,0.01904,0.93559,0.92527,0.96571,0.65575,1.1803,0.46227,0.02344,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4672.89,1.17867,0.74703,0.01883,0.93552,0.93391,0.97293,0.65837,1.17942,0.44521,0.02344,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4785.06,1.17867,0.74458,0.0189,0.93896,0.93391,0.97419,0.66077,1.16869,0.44524,0.02317,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4896.38,1.1815,0.74107,0.01875,0.9396,0.93188,0.96913,0.66141,1.1645,0.44688,0.02312,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5007.29,1.16748,0.73144,0.01859,0.94257,0.92618,0.96766,0.66259,1.15948,0.44311,0.02304,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5118.28,1.15048,0.70424,0.01823,0.94353,0.93445,0.97401,0.66965,1.15037,0.43646,0.02263,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5226.9,1.16324,0.70926,0.01851,0.93921,0.9395,0.97522,0.66987,1.14617,0.42896,0.02255,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5336.1,1.14867,0.68825,0.01816,0.94174,0.93683,0.97235,0.67166,1.13517,0.42969,0.02236,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5444.99,1.14048,0.69013,0.01805,0.95193,0.92374,0.97521,0.67191,1.12843,0.42743,0.0221,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5554.42,1.1375,0.67936,0.01795,0.95365,0.9273,0.97611,0.6744,1.12054,0.42158,0.02186,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5663.93,1.12788,0.66871,0.01778,0.95132,0.93645,0.97652,0.67621,1.11718,0.41511,0.02181,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5773.38,1.11699,0.66897,0.01761,0.9461,0.94154,0.97596,0.67797,1.11911,0.40919,0.02186,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5882.99,1.1138,0.67078,0.0177,0.94673,0.93966,0.97665,0.68116,1.10772,0.40831,0.02169,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5991.77,1.10177,0.66082,0.01757,0.94533,0.94067,0.97747,0.68165,1.10978,0.40553,0.02176,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6100.39,1.10221,0.65638,0.01743,0.94278,0.94647,0.97763,0.68061,1.10825,0.4013,0.0217,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6209.84,1.10072,0.64955,0.01707,0.93817,0.94888,0.97359,0.67988,1.10426,0.39869,0.02162,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6319.23,1.09108,0.63554,0.0172,0.94664,0.94408,0.97395,0.68084,1.10217,0.39872,0.02159,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6428.67,1.08705,0.63866,0.01698,0.95103,0.93793,0.97389,0.68195,1.09731,0.39893,0.02142,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6538.2,1.07693,0.63383,0.01693,0.95074,0.94204,0.9784,0.68478,1.09393,0.39603,0.02135,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6647.66,1.05955,0.62759,0.01669,0.9454,0.94764,0.97934,0.68661,1.09083,0.39849,0.02129,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6757.13,1.0627,0.62821,0.01661,0.9521,0.93968,0.97503,0.687,1.0874,0.39209,0.02121,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6866.67,1.05045,0.61469,0.01649,0.95348,0.93783,0.97508,0.68887,1.08465,0.38609,0.02114,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6976.27,1.04637,0.61017,0.0163,0.94951,0.94408,0.97997,0.69042,1.07985,0.38657,0.02104,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7085.78,1.02784,0.60205,0.01622,0.95594,0.94052,0.97551,0.69079,1.07441,0.38381,0.0209,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7195.17,1.02402,0.59725,0.01583,0.9542,0.94263,0.98112,0.69181,1.07104,0.38419,0.02081,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7304.5,1.02265,0.59008,0.016,0.95314,0.94408,0.98037,0.69304,1.07015,0.38173,0.0208,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7413.69,1.02039,0.5758,0.01578,0.95684,0.94052,0.98065,0.69416,1.06937,0.37614,0.02079,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7522.33,1.00701,0.56924,0.01567,0.9571,0.94052,0.98101,0.69449,1.06886,0.37713,0.02077,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7631.08,1.00266,0.56638,0.01568,0.94778,0.95045,0.97624,0.69436,1.06629,0.37415,0.02073,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7739.83,0.99594,0.56381,0.01553,0.94798,0.95425,0.97646,0.69511,1.06223,0.37457,0.02063,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7848.71,0.98847,0.55645,0.01518,0.94911,0.95425,0.97655,0.69675,1.0592,0.37297,0.02056,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7957.32,0.97481,0.5605,0.01502,0.95091,0.95515,0.97659,0.6975,1.05671,0.37094,0.0205,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8065.82,0.96796,0.55204,0.01495,0.9541,0.95679,0.97664,0.6974,1.05314,0.37215,0.02042,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8174.45,0.96084,0.55028,0.01477,0.95066,0.95526,0.97657,0.69878,1.05184,0.36842,0.0204,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8284.78,0.96072,0.53575,0.01475,0.95247,0.95475,0.97669,0.69945,1.04937,0.36909,0.02034,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8395.34,0.95053,0.53462,0.01458,0.95395,0.95526,0.97693,0.70126,1.04732,0.37385,0.02029,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8506.32,0.94662,0.52075,0.01456,0.95328,0.95439,0.97674,0.70187,1.04588,0.37297,0.02024,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8615.89,0.93891,0.53996,0.01452,0.95376,0.95424,0.97694,0.7023,1.04436,0.372,0.02022,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8724.81,0.92857,0.51053,0.01422,0.95373,0.95365,0.97708,0.70323,1.04224,0.37218,0.02017,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8834.19,0.92072,0.52185,0.01419,0.95544,0.95374,0.97726,0.7037,1.04167,0.36976,0.02015,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8945.36,0.91648,0.51218,0.01394,0.95751,0.95082,0.97728,0.70403,1.04073,0.36885,0.02013,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9057.44,0.90598,0.51446,0.01378,0.95846,0.95019,0.97735,0.7043,1.03932,0.36741,0.02009,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9168.38,0.89703,0.51489,0.01378,0.95712,0.95321,0.97764,0.70501,1.03891,0.36842,0.02009,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9278.49,0.88837,0.50981,0.01357,0.95902,0.9518,0.97764,0.70503,1.0376,0.36479,0.02006,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9388.18,0.88823,0.48821,0.0135,0.9591,0.95221,0.97774,0.70535,1.03677,0.36461,0.02003,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9500.55,0.87688,0.49707,0.01348,0.95916,0.95221,0.9778,0.70634,1.03573,0.36431,0.02001,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9612.5,0.8681,0.48948,0.01338,0.96274,0.95018,0.97805,0.70642,1.03466,0.36545,0.01999,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9724.37,0.86431,0.48049,0.01315,0.96435,0.94898,0.97791,0.70693,1.03383,0.36521,0.01996,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9836.24,0.85986,0.47241,0.01319,0.96567,0.94865,0.978,0.70762,1.03267,0.36569,0.01993,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9948.6,0.86179,0.47695,0.01302,0.9657,0.94916,0.97806,0.7075,1.03179,0.36627,0.01991,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10054,0.75575,0.26459,0.01417,0.96635,0.94891,0.97807,0.7079,1.03154,0.36646,0.0199,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10159.2,0.73544,0.25038,0.01366,0.96617,0.94865,0.9781,0.70842,1.03081,0.36425,0.01989,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10264.7,0.71331,0.24582,0.01318,0.96631,0.94789,0.9781,0.70882,1.03015,0.36695,0.01988,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10369.9,0.70359,0.23481,0.01282,0.96584,0.94882,0.97818,0.70889,1.02929,0.3646,0.01987,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10474,0.69261,0.23498,0.01272,0.9658,0.94757,0.97814,0.70919,1.02811,0.37057,0.01984,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10578,0.68316,0.2308,0.01262,0.9663,0.94749,0.97811,0.70896,1.02716,0.37096,0.01982,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10682.6,0.67423,0.22921,0.01241,0.9658,0.94761,0.97805,0.70966,1.02618,0.37044,0.0198,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10786.5,0.67274,0.22368,0.01222,0.96531,0.9477,0.97806,0.71016,1.02442,0.37232,0.01975,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10888.9,0.66069,0.21819,0.012,0.96585,0.94892,0.97815,0.71048,1.02447,0.36882,0.01976,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10991.9,0.65486,0.21837,0.01194,0.96537,0.94865,0.97821,0.71041,1.02352,0.36817,0.01975,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
